column,primary_use_case,AnalysisHandling,alt_use_cases,peril_fire,peril_wildfire,peril_weather,peril_nw_water,peril_crime,peril_other,peril_farm_crop,peril_eq,peril_casualty,peril_wc_el,peril_flood,peril_terrorism,peril_auto,peril_rcv,peril_pl_cl,usage_uw,usage_ops,usage_pricing,calculate_stats
location_type,Location Info,Keep,,,,,,,,,,,,,,,,,,,,Yes
match_level,ID,Exceptions,"GeoID Match Level: House (1398), Address issue (12)",,,,,,,,,,,,,,,,X,X,,Yes
match_score,ID,Exceptions,Score < 1.00 indicates imperfect match (78),,,,,,,,,,,,,,,,X,X,,Yes
google_maps_url,ID,Supp ID,link to google image,,,,,,,,,,,,,,,,X,X,,No
enhanced_wildfire.score,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.text,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.risk_scores.base,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,,,X,Yes
enhanced_wildfire.risk_scores.composite,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,,X,Yes
enhanced_wildfire.landcover_risk.score,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,,,X,Yes
enhanced_wildfire.landcover_risk.desc,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,,,Yes
enhanced_wildfire.landcover_risk.detail.area_desc,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,X,,Yes
enhanced_wildfire.landcover_risk.detail.site_desc,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,X,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.0.distance_to,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.0.pct_wildland,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.0.risk_category,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.1.distance_to,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.1.pct_wildland,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.1.risk_category,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.2.distance_to,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.2.pct_wildland,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.2.risk_category,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.katabatic_wind_risk.score,Katabatic Wind,Distribution,,,X,X,,,,X,,,,,,X,,ALL,,,X,Yes
enhanced_wildfire.katabatic_wind_risk.name,Katabatic Wind,Combine,,,X,X,,,,X,,,,,,X,,ALL,X,,,Yes
enhanced_wildfire.katabatic_wind_risk.desc,Katabatic Wind,Combine,,,X,X,,,,X,,,,,,X,,ALL,,X,,Yes
enhanced_wildfire.fire_season_precip_risk.score,Wildfire,Keep,,,X,,,,,,,,,,,,,,,,,Yes
enhanced_wildfire.fire_season_precip_risk.monthly_avg_precip,Wildfire,Keep,,,X,,,,,,,,,,,,,,,,,Yes
enhanced_wildfire.fire_season_precip_risk.desc,Wildfire,Keep,,,X,,,,,,,,,,,,,,,,,Yes
enhanced_wildfire.wildfire_perimeter_risk.score,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,,,X,Yes
enhanced_wildfire.wildfire_perimeter_risk.desc,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.0.name,Wildfire,Exceptions,,,X,,,,,,,,,,,,,ALL,,X,,No
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.0.year,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.0.relationship,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.1.name,Wildfire,Exceptions,,,X,,,,,,,,,,,,,ALL,,X,,No
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.1.year,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.1.relationship,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.2.name,Wildfire,Exceptions,,,X,,,,,,,,,,,,,ALL,,X,,No
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.2.year,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.2.relationship,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.vegetation_burn_site_risk.score,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,,X,Yes
enhanced_wildfire.vegetation_burn_site_risk.within_half_mile,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.vegetation_burn_site_risk.within_one_mile,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.vegetation_burn_site_risk.desc,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,X,X,Yes
wildfire.score,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire.text,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire_description.value,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire_risk_score.value,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire_risk_score.composite,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire_risk.value,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire_distance_to_high_area.units,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire_distance_to_high_area.value,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire_housing_density.value,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
drought.score,Drought,Distribution,,,X,,,,,,,,,,,,,ALL,X,,,Yes
drought.text,Drought,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
drought_frequency_index.score,Drought,Distribution,,,X,,,,,,,,,,,,,ALL,,,X,Yes
drought_frequency_index.text,Drought,Combine,,,X,,,,,,,,,,,,,ALL,,,,Yes
drought_frequency_index.pct,Drought,Combine,,,X,,,,,,,,,,,,,ALL,,,,Yes
drought_frequency_index.desc,,,,,,,,,,,,,,,,,,,,,,No
wildfire_history_params.risk,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,,X,Yes
wildfire_history_params.year_name,Wildfire,Exceptions,,,X,,,,,,,,,,,,,ALL,,X,,No
wildfire_history_params.year_name_distance,Wildfire,Exceptions,,,X,,,,,,,,,,,,,ALL,,X,,No
wildfire_history_params.number_of_wildfires,Wildfire,Distribution,# of wildfire perimeters involving insured location,,X,,,,,,,,,,,,,ALL,X,X,,Yes
wildfire_history_params.number_of_wildfires_near,Wildfire,Combine,# of wildfires near insured location,,X,,,,,,,,,,,,,ALL,X,X,,Yes
distance_to_significant_wf_risk_params.risk,,,,,,,,,,,,,,,,,,,,,,Yes
distance_to_significant_wf_risk_params.very_high,Wildfire,Bucket,,,X,,,,,,,,,,,,,ALL,X,X,,Yes
distance_to_significant_wf_risk_params.high,Wildfire,Bucket,,,X,,,,,,,,,,,,,ALL,X,X,,Yes
distance_to_significant_wf_risk_params.moderate,Wildfire,Bucket,,,X,,,,,,,,,,,,,ALL,X,X,,Yes
fire_season_precipitation_params.risk,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
fire_season_precipitation_params.scale,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
fire_season_precipitation_params.fire_season_precipitation,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
vegetation_burn_points.# of vegetation burn points within 1/2 mile,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
vegetation_burn_points.# of vegetation burn points within 1 mile,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wind_region.score,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wind_region.text,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wind_region.text2,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
fire_protection.score,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
fire_protection.text,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
fire_protection.aais_proxy,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
hh_fpc_code.value,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
enhanced_hh_pfs.value,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
enhanced_hh_pfs.average_pct_loss,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
enhanced_hh_pfs.estimated_loss_amt,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
fire_suppression.score,Fire Suppression,Distribution,,,,,,,,,,,,,,,,ALL,,,X,Yes
fire_suppression.grade,Fire Suppression,Combine,,,,,,,,,,,,,,,,ALL,X,X,,Yes
fire_suppression.category,Fire Suppression,Combine,,,,,,,,,,,,,,,,ALL,X,,X,Yes
fire_suppression.text,Fire Suppression,Combine,,,,,,,,,,,,,,,,ALL,,X,,Yes
aais_fire_protection_class_params.class,,,AAIS - Delete,,,,,,,,,,,,,,,,,,,No
aais_fire_protection_class_params.hydrant_fire_station_distance,,,AAIS - Delete,,,,,,,,,,,,,,,,,,,No
aais_fire_protection_class_params.available_water_type,,,AAIS - Delete,,,,,,,,,,,,,,,,,,,No
perennial_water.text,Flood,Distribution,Potential for overflow from nearby perennial water,,,,,,,,,,,,,,,ALL,,X,,Yes
perennial_water.answer,Flood,Combine,,,,,,,,,,,,,,,,ALL,X,,,Yes
perennial_water.name,Flood,Exceptions,Alternate water source / Potential accidental drowning,,,,,,,X,,X,X,,,,,ALL,,X,,No
municipal_boundary.gid,ID,Supp ID,,,,,,,,,,,,,,,,ALL,,X,,No
municipal_boundary.placefp,ID,Supp ID,,,,,,,,,,,,,,,,ALL,,X,,No
municipal_boundary.namelsad,ID,Supp ID,,,,,,,,,,,,,,,,ALL,,X,,No
municipal_boundary.type,ID,Supp ID,,,,,,,,,,,,,,,,ALL,,X,,No
urbanicity.type,ID,Distribution,,,,,,,,,,,,,,,,ALL,,X,,Yes
urbanicity.name,ID,Distribution,,,,,,,,,,,,,,,,ALL,,X,,Yes
urbanicity.desc,ID,Combine,,,,,,,,,,,,,,,,ALL,,X,,Yes
census_block.geoid,ID,Supp ID,,,,,,,,,,,,,,,,ALL,,X,,No
census_block.state_fips_code,ID,Supp ID,,,,,,,,,,,,,,,,ALL,,X,,No
census_block.county_fips_code,ID,Supp ID,,,,,,,,,,,,,,,,ALL,,X,,No
census_block.tract,ID,Supp ID,,,,,,,,,,,,,,,,ALL,,X,,No
census_block.block,ID,Supp ID,,,,,,,,,,,,,,,,ALL,,X,,No
census_block.block_group,ID,Supp ID,,,,,,,,,,,,,,,,ALL,,X,,No
state_county.state,ID,Supp ID,,,,,,,,,,,,,,,,ALL,,X,,No
state_county.jurisdiction,ID,Supp ID,,,,,,,,,,,,,,,,ALL,,X,,No
state_county.state_and_county_FIPS_code,ID,Supp ID,,,,,,,,,,,,,,,,ALL,,X,,No
school_district.name,ID,Supp ID,,,,,,,,,,,,,,,,ALL,X,,,No
water_type.value,Fire,Exceptions,Known Hydrant Database; Missing (220),,,,,,,,,,,,,,,ALL,,X,,Yes
hydrant.score,,,,,,,,,,,,,,,,,,,,,,Yes
hydrant.text,,,,,,,,,,,,,,,,,,,,,,Yes
hydrant_params.distance_from_nearest_hydrant,Fire,Distribution,"For ISO PPC, use to identify split classes",,,,,,,,,,,,,,,ALL,X,,X,Yes
hydrant_params.hydrants_within_1000_ft,,,,,,,,,,,,,,,,,,,,,,Yes
cal_fire.haz_code_state,Wildfire,Distribution,"Cal Fire State Hazard Zones 1,2,3 (41)",,X,,,,,,,,,,,,,ALL,X,,,Yes
cal_fire.haz_class_state,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
cal_fire.haz_code_local,Wildfire,Distribution,"Cal Fire Local Hazard Zones 1,2,3 (55)",,X,,,,,,,,,,,,,ALL,X,,,Yes
cal_fire.haz_class_local,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
drive_distance_fire_station.distance,Fire,Bucket,"For ISO PPC, when address lookup fails",,,,,,,,,,,,,,,ALL,,X,,Yes
drive_distance_fire_station.units,Fire,,,,,,,,,,,,,,,,,ALL,,,,No
drive_time_fire_station.duration,Fire,Bucket,Supplement ISO PPC w actual drive times,,,,,,,,,,,,,,,ALL,X,,X,Yes
drive_time_fire_station.units,Fire,,,,,,,,,,,,,,,,,ALL,,,,No
fire_station_type.value,Fire,Distribution,,,,,,,,,,,,,,,,ALL,X,,X,Yes
number_of_fire_stations_within_10_miles,Wildfire,Bucket,Identify areas that are unprotected,X,X,,,,,,,,,,,,,ALL,X,,,Yes
number_of_fire_stations_within_5_miles,Wildfire,Bucket,,X,X,,,,,,,,,,,,,ALL,X,,,Yes
nearest_fire_station.title,Fire,Keep,"For ISO PPC, when address lookup fails",,,,,,,,,,,,,,,ALL,,X,,No
nearest_fire_station.lat,Fire,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
nearest_fire_station.lng,Fire,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
nearest_fire_station.type,Fire,Distribution,,,,,,,,,,,,,,,,ALL,X,,X,Yes
nearest_fire_station.response_area,Fire,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
nearest_fire_station.units,,,,,,,,,,,,,,,,,,,,,,No
nearest_fire_station.distance,Fire,Bucket,,,,,,,,,,,,,,,,ALL,X,,X,Yes
nearest_fire_station_2.title,Fire,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
nearest_fire_station_2.lat,Fire,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
nearest_fire_station_2.lng,Fire,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
nearest_fire_station_2.type,Fire,Distribution,,,,,,,,,,,,,,,,ALL,X,,X,Yes
nearest_fire_station_2.response_area,Fire,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
nearest_fire_station_2.units,,,,,,,,,,,,,,,,,,,,,,No
nearest_fire_station_2.distance,Fire,Bucket,,,,,,,,,,,,,,,,ALL,X,,X,Yes
nearest_fire_station_2.drive_distance_fire_station.units,,,,,,,,,,,,,,,,,,,,,,No
nearest_fire_station_2.drive_distance_fire_station.distance,Fire,Bucket,,,,,,,,,,,,,,,,ALL,X,,X,Yes
nearest_fire_station_2.drive_duration_value,Fire,Bucket,,,,,,,,,,,,,,,,ALL,X,,X,Yes
nearest_fire_station_2.drive_duration_units,,,,,,,,,,,,,,,,,,,,,,No
nearest_fire_station_3.title,Fire,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
nearest_fire_station_3.lat,Fire,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
nearest_fire_station_3.lng,Fire,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
nearest_fire_station_3.type,Fire,Distribution,,,,,,,,,,,,,,,,ALL,X,,X,Yes
nearest_fire_station_3.response_area,Fire,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
nearest_fire_station_3.units,,,,,,,,,,,,,,,,,,,,,,No
nearest_fire_station_3.distance,Fire,Bucket,,,,,,,,,,,,,,,,ALL,X,,X,Yes
nearest_fire_station_3.drive_distance_fire_station.units,,,,,,,,,,,,,,,,,,,,,,No
nearest_fire_station_3.drive_distance_fire_station.distance,Fire,Bucket,,,,,,,,,,,,,,,,ALL,X,,X,Yes
nearest_fire_station_3.drive_duration_value,Fire,Bucket,,,,,,,,,,,,,,,,ALL,X,,X,Yes
nearest_fire_station_3.drive_duration_units,,,,,,,,,,,,,,,,,,,,,,No
fault_earthquake.score,EQ Fault,Distribution,,X,,,,,,,X,,,,,,,ALL,X,,X,Yes
fault_earthquake.text,EQ Fault,Combine,,X,,,,,,,X,,,,,,,ALL,,X,,Yes
fault_earthquake.name,EQ Fault,Exceptions,,X,,,,,,,X,,,,,,,ALL,,X,,No
fault_earthquake.distance,EQ Fracking,Combine,,X,,,,,,,X,,,,,,,ALL,,X,,Yes
fracking_earthquake.score,EQ Fracking,Exceptions,,X,,,,,,,X,,,,,,,ALL,X,,X,Yes
fracking_earthquake.text,EQ Fracking,Combine,,X,,,,,,,X,,,,,,,ALL,,X,,Yes
designated_fault.score,Designated Fault,Exceptions,,X,,,,,,,X,,,,,,,ALL,X,,X,Yes
designated_fault.text,Designated Fault,Combine,,X,,,,,,,X,,,,,,,ALL,,X,,Yes
earthquake.score,EQ,Distribution,,X,,,,,,,X,,,,,,,ALL,X,,X,Yes
earthquake.text,EQ,Combine,,X,,,,,,,X,,,,,,,ALL,,X,,Yes
earthquake.MMI,EQ,Distribution,,X,,,,,,,X,,,,,,,ALL,X,,X,Yes
earthquake.shake,EQ,Combine,,X,,,,,,,X,,,,,,,ALL,,X,,Yes
earthquake.richter_scale,EQ,Distribution,,X,,,,,,,X,,,,,,,ALL,X,,X,Yes
earthquake.peak_ground_acceleration,EQ,Bucket,,X,,,,,,,X,,,,,,,ALL,X,,X,Yes
soil_shear_velocity.vs30,EQ,Bucket,,X,,,,,,,X,,,,,,,ALL,X,X,,Yes
soil_shear_velocity.units,,,,,,,,,,,,,,,,,,,,,,No
mudslide_risk.score,Mudslide,Distribution,,,X,X,,,,,X,,,X,,,,ALL,X,,X,Yes
mudslide_risk.text,Mudslide,Combine,,,X,X,,,,,X,,,X,,,,ALL,,X,,Yes
mudslide_risk.PCL,Mudslide,Exceptions,,,X,,,,,X,X,X,X,X,,X,,ALL,X,X,,No
lava_flow.score,Lava Flow,Exceptions,,X,X,,,,,X,X,,X,,,X,,ALL,,,X,No
lava_flow.text,Lava Flow,Combine,,X,X,,,,,X,X,,X,,,X,,ALL,,X,,Yes
lava_flow.zone,Lava Flow,Exceptions,,X,X,,,,,X,X,,X,,,X,,ALL,X,,,No
lava_flow.desc,Lava Flow,Combine,,X,X,,,,,X,X,,X,,,X,,ALL,,X,,Yes
tsunami.score,Tsunami,Exceptions,,,,X,,,,X,,X,X,X,,X,,ALL,X,,,Yes
tsunami.text,Tsunami,Combine,,,,X,,,,X,,X,X,X,,X,,ALL,,X,,Yes
enhanced_hurricane_params.score,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,,Yes
enhanced_hurricane_params.scale,Hurricane,Combine,,,,X,,,,X,,,,X,,,,ALL,,,X,Yes
enhanced_hurricane_params.text,Hurricane,Combine,,,,X,,,,X,,,,X,,,,ALL,,X,,Yes
enhanced_hurricane_params.total_events_since_1980,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,,Yes
enhanced_hurricane_params.avg_wind_speed_knots,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hurricane_params.max_wind_speed_knots,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hurricane_params.avg_barometric_press_mb,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hurricane_params.min_barometric_press_mb,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hurricane_params.num_events_gt_50_knots,Hurricane,Bucket,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hurricane_params.num_events_press_lt_950_mb,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hurricane_params.num_tropical_waves,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hurricane_params.num_disturbances,Hurricane,Exceptions,,,,X,,,,X,,,,X,,,,ALL,X,X,,Yes
enhanced_hurricane_params.num_extratropical_systems,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hurricane_params.num_lows,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hurricane_params.num_subtropical_depressions,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hurricane_params.num_subtropical_storms,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hurricane_params.num_tropical_depressions,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hurricane_params.num_tropical_storms,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hurricane_params.num_hurricanes,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hurricane_params.num_cat_0_hurricanes,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hurricane_params.num_cat_1_hurricanes,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hurricane_params.num_cat_2_hurricanes,Hurricane,Exceptions,,,,X,,,,X,,,,X,,,,ALL,X,X,,Yes
enhanced_hurricane_params.num_cat_3_hurricanes,Hurricane,Exceptions,,,,X,,,,X,,,,X,,,,ALL,X,X,,Yes
enhanced_hurricane_params.num_cat_4_hurricanes,Hurricane,Exceptions,,,,X,,,,X,,,,X,,,,ALL,X,X,,Yes
enhanced_hurricane_params.num_cat_5_hurricanes,Hurricane,Exceptions,,,,X,,,,X,,,,X,,,,ALL,X,X,,Yes
enhanced_hurricane_params.name_year_max_wind,Hurricane,Exceptions,Identify locations in path of prior hurricanes,,,X,,,,X,,,,X,,,,ALL,,X,,Yes
enhanced_hurricane_params.name_year_min_press,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hurricane_params.annual_chance_event_more_than_50_knots,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hurricane_params.annual_chance_event_less_than_950_mb,Hurricane,Distribution,,,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
superfund.score,Superfunds,Exceptions,Pollution,,,,,,X,,,X,X,,,,,CL,X,,X,Yes
superfund.text,Superfunds,Combine,Pollution,,,,,,X,,,X,X,,,,,CL,,X,,Yes
superfund.site_name,Superfunds,Combine,Pollution,,,,,,X,,,X,X,,,,,CL,,X,,No
superfund.address,Superfunds,Combine,Pollution,,,,,,X,,,X,X,,,,,CL,,X,,No
