column,primary_use_case,AnalysisHandling,alt_use_cases,peril_fire,peril_wildfire,peril_weather,peril_nw_water,peril_crime,peril_other,peril_farm_crop,peril_eq,peril_casualty,peril_wc_el,peril_flood,peril_terrorism,peril_auto,peril_rcv,peril_pl_cl,usage_uw,usage_ops,usage_pricing,calculate_stats
superfund.registry_number,Superfunds,Combine,Pollution,,,,,,X,,,X,X,,,,,CL,,X,,No
brownfield.score,Brownfields,Exceptions,Pollution,,,,,,X,,,X,X,,,,,CL,X,,X,Yes
brownfield.text,Brownfields,Combine,Pollution,,,,,,X,,,X,X,,,,,CL,,X,,Yes
brownfield.site_name,Brownfields,Combine,Pollution,,,,,,X,,,X,X,,,,,CL,,X,,No
brownfield.address,Brownfields,Combine,Pollution,,,,,,X,,,X,X,,,,,CL,,X,,No
brownfield.registry_number,Brownfields,Combine,Pollution,,,,,,X,,,X,X,,,,,CL,,X,,No
pfa.score,PFA Sites,Exceptions,Pollution,,,,,,X,,,X,X,,,,,CL,X,,,Yes
pfa.text,PFA Sites,Combine,Pollution,,,,,,X,,,X,X,,,,,CL,,,,No
pfa.site_name,PFA Sites,Combine,Pollution,,,,,,X,,,X,X,,,,,CL,,,,No
pfa.type,PFA Sites,Combine,Pollution,,,,,,X,,,X,X,,,,,CL,,,,Yes
sinkhole.score,Sinkhole,Exceptions,C (4); D (2),,,,,,X,,,X,X,,,X,,ALL,X,,,Yes
sinkhole.text,Sinkhole,Combine,Collapse,,,,,,X,,,X,X,,,,,ALL,,X,,Yes
sinkhole.distance.value,Sinkhole,Combine,Collapse,,,,,,X,,,X,X,,,,,ALL,,X,,Yes
sinkhole.distance.units,Sinkhole,Combine,Collapse,,,,,,X,,,X,X,,,,,ALL,,X,,No
sinkhole_ring_params.ring_0_1_mile,Sinkhole,Exceptions,Collapse,,,,,,X,,,X,X,,,,,ALL,X,X,,Yes
sinkhole_ring_params.cummulative_0_1_mile,Sinkhole,Distribution,Collapse,,,,,,X,,,X,X,,,,,ALL,X,X,,Yes
sinkhole_ring_params.ring_1_2_mile,,,,,,,,,,,,,,,,,,,,,,Yes
sinkhole_ring_params.cummulative_0_2_mile,Sinkhole,Distribution,Collapse,,,,,,X,,,X,X,,,,,ALL,X,X,,Yes
sinkhole_ring_params.ring_2_3_mile,,,,,,,,,,,,,,,,,,,,,,Yes
sinkhole_ring_params.cummulative_0_3_mile,Sinkhole,Distribution,Collapse,,,,,,X,,,X,X,,,,,ALL,X,X,,Yes
sinkhole_ring_params.ring_3_4_mile,,,,,,,,,,,,,,,,,,,,,,Yes
sinkhole_ring_params.cummulative_0_4_mile,,,,,,,,,,,,,,,,,,,,,,Yes
sinkhole_ring_params.ring_4_5_mile,,,,,,,,,,,,,,,,,,,,,,Yes
sinkhole_ring_params.cummulative_0_5_mile,,,,,,,,,,,,,,,,,,,,,,Yes
sinkhole_risk_params.sinkhole_susceptibility_grade,Sinkhole,Distribution,Collapse,,,,,,X,,,X,X,,,,,ALL,X,,X,Yes
sinkhole_risk_params.sinkhole_susceptibility_risk,Sinkhole,Combine,Collapse,,,,,,X,,,X,X,,,,,ALL,X,,,Yes
sinkhole_risk_params.karst_type,Sinkhole,Combine,Collapse,,,,,,X,,,X,X,,,,,ALL,,X,,Yes
sinkhole_risk_params.climate,Sinkhole,Combine,Collapse,,,,,,X,,,X,X,,,,,ALL,,X,,Yes
sinkhole_risk_params.rocktype,Sinkhole,Combine,Collapse,,,,,,X,,,X,X,,,,,ALL,,X,,Yes
sinkhole_risk_params.closed_depression_grade,,,,,,,,,,,,,,,,,,,,,,Yes
sinkhole_risk_params.closed_depression_risk,,,,,,,,,,,,,,,,,,,,,,Yes
sinkhole_risk_params.sinkhole_point_grade,,,,,,,,,,,,,,,,,,,,,,Yes
sinkhole_risk_params.sinkhole_distance.value,,,,,,,,,,,,,,,,,,,,,,Yes
sinkhole_risk_params.sinkhole_distance.units,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_wind_params.score,Wind,Distribution,,,X,X,,,,X,,,,,,X,,ALL,X,,,Yes
enhanced_wind_params.text,Wind,Combine,,,X,X,,,,X,,,,,,X,,ALL,,X,,Yes
enhanced_wind_params.scale,Wind,Distribution,,,X,X,,,,X,,,,,,X,,ALL,,,X,Yes
enhanced_wind_params.historical_wind_events.wind_rad,Wind,Exceptions,95% likelihood of damaging wind event within 1.5 miles,,,X,,,,X,,,,,,X,,ALL,,X,,Yes
enhanced_wind_params.num_of_damaging_wind_incidents_within_25_miles_since_1996,Wind,Distribution,,,,X,,,,X,,,,,,X,,ALL,X,,X,Yes
enhanced_wind_params.count_within_25_miles_for_last_decade,Wind,Distribution,,,,X,,,,X,,,,,,X,,ALL,,,,Yes
enhanced_wind_params.nearest_wind_incident.year,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_wind_params.nearest_wind_incident.type,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_wind_params.nearest_wind_incident.injuries,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_wind_params.nearest_wind_incident.deaths,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_wind_params.nearest_wind_incident.prop_dam,Wind,Distribution,,,,X,,,,X,,,,,,X,,ALL,,,,Yes
enhanced_wind_params.nearest_wind_incident.crop_dam,Wind,Distribution,,,,X,,,,X,,,,,,X,,ALL,,,,Yes
enhanced_wind_params.nearest_wind_incident.wind_spd,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_wind_params.nearest_wind_incident.distance_miles,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_wind_params.waddrisk,Wind,Distribution,,,,X,,,,X,,,,,,X,,ALL,X,,X,Yes
enhanced_wind_params.wpctrisk,Wind,Bucket,,,,X,,,,X,,,,,,X,,ALL,X,,X,Yes
wind_ring_params.ring_0_1_mile,,,,,,,,,,,,,,,,,,,,,,Yes
wind_ring_params.cummulative_0_1_mile,,,,,,,,,,,,,,,,,,,,,,Yes
wind_ring_params.ring_1_2_mile,,,,,,,,,,,,,,,,,,,,,,Yes
wind_ring_params.cummulative_0_2_mile,,,,,,,,,,,,,,,,,,,,,,Yes
wind_ring_params.ring_2_3_mile,,,,,,,,,,,,,,,,,,,,,,Yes
wind_ring_params.cummulative_0_3_mile,,,,,,,,,,,,,,,,,,,,,,Yes
wind_ring_params.ring_3_4_mile,,,,,,,,,,,,,,,,,,,,,,Yes
wind_ring_params.cummulative_0_4_mile,,,,,,,,,,,,,,,,,,,,,,Yes
wind_ring_params.ring_4_5_mile,,,,,,,,,,,,,,,,,,,,,,Yes
wind_ring_params.cummulative_0_5_mile,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hail_params.score,Hail,Distribution,,,,X,,,,X,,,,,,,,ALL,X,,,Yes
enhanced_hail_params.text,Hail,Combine,,,,X,,,,X,,,,,,,,ALL,,X,,Yes
enhanced_hail_params.scale,Hail,Distribution,,,,X,,,,X,,,,,,,,ALL,,,X,Yes
enhanced_hail_params.historical_hail_events.hail_rad,,,,,,,,,,,,,,,,,,,,,,No
enhanced_hail_params.num_of_damaging_hail_incidents_within_25_miles_since_1996,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hail_params.count_within_25_miles_for_last_decade,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hail_params.nearest_hail_incident.year,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hail_params.nearest_hail_incident.type,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hail_params.nearest_hail_incident.injuries,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hail_params.nearest_hail_incident.deaths,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hail_params.nearest_hail_incident.prop_dam,Hail,Distribution,,,,X,,,,X,,,,,,,,ALL,,,X,Yes
enhanced_hail_params.nearest_hail_incident.crop_dam,Hail,Distribution,,,,X,,,,X,,,,,,,,ALL,,,X,Yes
enhanced_hail_params.nearest_hail_incident.inches,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hail_params.nearest_hail_incident.distance_miles,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hail_params.haddrisk,Hail,Distribution,,,,X,,,,X,,,,,,,,ALL,,,X,Yes
enhanced_hail_params.hpctrisk,Hail,Bucket,,,,X,,,,X,,,,,,,,ALL,,,X,Yes
hail_ring_params.ring_0_1_mile,,,,,,,,,,,,,,,,,,,,,,Yes
hail_ring_params.cummulative_0_1_mile,,,,,,,,,,,,,,,,,,,,,,Yes
hail_ring_params.ring_1_2_mile,,,,,,,,,,,,,,,,,,,,,,Yes
hail_ring_params.cummulative_0_2_mile,,,,,,,,,,,,,,,,,,,,,,Yes
hail_ring_params.ring_2_3_mile,,,,,,,,,,,,,,,,,,,,,,Yes
hail_ring_params.cummulative_0_3_mile,,,,,,,,,,,,,,,,,,,,,,Yes
hail_ring_params.ring_3_4_mile,,,,,,,,,,,,,,,,,,,,,,Yes
hail_ring_params.cummulative_0_4_mile,,,,,,,,,,,,,,,,,,,,,,Yes
hail_ring_params.ring_4_5_mile,,,,,,,,,,,,,,,,,,,,,,Yes
hail_ring_params.cummulative_0_5_mile,,,,,,,,,,,,,,,,,,,,,,Yes
convection_storm.score,Convection Storm,Distribution,,,,X,,,,X,,,,,,X,,ALL,X,,,Yes
convection_storm.text,Convection Storm,Combine,,,,X,,,,X,,,,,,X,,ALL,,X,,Yes
convection_storm_per_decade.value,Convection Storm,Distribution,,,,X,,,,X,,,,,,X,,ALL,,,X,Yes
enhanced_tornado_params.score,Tornado,Distribution,,,,X,,,,X,,X,X,,,X,,ALL,X,,,Yes
enhanced_tornado_params.text,Tornado,Combine,,,,X,,,,X,,X,X,,,X,,ALL,,X,,Yes
enhanced_tornado_params.scale,Tornado,Distribution,,,,X,,,,X,,X,X,,,X,,ALL,,,X,Yes
enhanced_tornado_params.historical_tornado_events.tornado_rad,,,,,,,,,,,,,,,,,,,,,,No
enhanced_tornado_params.num_of_damaging_tornado_incidents_within_25_miles_since_1996,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_tornado_params.count_within_25_miles_for_last_decade,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_tornado_params.nearest_tornado_incident.year,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_tornado_params.nearest_tornado_incident.type,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_tornado_params.nearest_tornado_incident.injuries,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_tornado_params.nearest_tornado_incident.deaths,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_tornado_params.nearest_tornado_incident.prop_dam,Tornado,Distribution,,,,X,,,,X,,X,X,,,X,,ALL,,,,No
enhanced_tornado_params.nearest_tornado_incident.crop_dam,Tornado,Distribution,,,,X,,,,X,,X,X,,,X,,ALL,,,,No
enhanced_tornado_params.nearest_tornado_incident.fscale,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_tornado_params.nearest_tornado_incident.distance_miles,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_tornado_params.taddrisk,Tornado,Distribution,,,,X,,,,X,,X,X,,,X,,ALL,,,,Yes
enhanced_tornado_params.tpctrisk,Tornado,Bucket,,,,X,,,,X,,X,X,,,X,,ALL,,,,Yes
tornado_ring_params.ring_0_1_mile,,,,,,,,,,,,,,,,,,,,,,Yes
tornado_ring_params.cummulative_0_1_mile,,,,,,,,,,,,,,,,,,,,,,Yes
tornado_ring_params.ring_1_2_mile,,,,,,,,,,,,,,,,,,,,,,Yes
tornado_ring_params.cummulative_0_2_mile,,,,,,,,,,,,,,,,,,,,,,Yes
tornado_ring_params.ring_2_3_mile,,,,,,,,,,,,,,,,,,,,,,Yes
tornado_ring_params.cummulative_0_3_mile,,,,,,,,,,,,,,,,,,,,,,Yes
tornado_ring_params.ring_3_4_mile,,,,,,,,,,,,,,,,,,,,,,Yes
tornado_ring_params.cummulative_0_4_mile,,,,,,,,,,,,,,,,,,,,,,Yes
tornado_ring_params.ring_4_5_mile,,,,,,,,,,,,,,,,,,,,,,Yes
tornado_ring_params.cummulative_0_5_mile,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_lightning_params.score,Lightning,Distribution,,X,X,X,,,,X,,X,X,,,X,,ALL,X,,,Yes
enhanced_lightning_params.text,Lightning,Combine,,X,X,X,,,,X,,X,X,,,X,,ALL,,X,,Yes
enhanced_lightning_params.scale,Lightning,Distribution,,X,X,X,,,,X,,X,X,,,X,,ALL,,,X,Yes
enhanced_lightning_params.lsqmi,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_lightning_params.laddrisk,Lightning,Distribution,,X,X,X,,,,X,,X,X,,,X,,ALL,X,,X,Yes
enhanced_lightning_params.lpctrisk,Lightning,Bucket,,X,X,X,,,,X,,X,X,,,X,,ALL,X,,X,Yes
enhanced_lightning_params.strikes_yr,Lightning,Distribution,,X,X,X,,,,X,,X,X,,,X,,ALL,X,,X,Yes
weather_params.annual_average_days_less_than_0,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.annual_average_days_less_than_10,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.annual_average_days_less_than_20,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.annual_average_days_more_than_40,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.annual_average_days_more_than_50,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.annual_fall_days_less_than_0,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.annual_fall_days_less_than_10,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.annual_fall_days_less_than_20,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.avg_num_days_below_32_degrees,Freeze,Distribution,More than 1 day (68),,,X,,,,X,,,,,,,,ALL,X,,,Yes
weather_params.annual_fall_days_less_than_32,Freeze,Combine,,,,X,,,,X,,,,,,,,ALL,X,,X,Yes
weather_params.annual_spring_days_less_than_32,Freeze,Combine,,,,X,,,,X,,,,,,,,ALL,X,,X,Yes
weather_params.avg_num_winter_days_below_32_degrees,Freeze,Combine,,,,X,,,,X,,,,,,,,ALL,X,,,Yes
weather_params.annual_spring_days_less_than_0,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.annual_spring_days_less_than_10,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.annual_spring_days_less_than_20,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.annual_winter_days_less_than_0,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.annual_winter_days_less_than_10,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.annual_winter_days_less_than_20,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.annual_winter_days_less_than_40,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.average_annual_precipitation,Rainfall,Distribution,Greater than 20 inches (162),,,X,,,,X,,,,X,,,,ALL,X,,X,Yes
weather_params.average_annual_snowfall,Snowfall,Distribution,Greater than 1 inch (66),,,X,,,X,X,,,,X,,X,,ALL,X,,X,Yes
weather_params.average_annual_temperature_max,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.average_annual_temperature_min,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.average_days_snowfall_greater_than_10_inches,Snowfall,Distribution,More than 1 day (178),,,X,,,X,,,X,X,,,X,,ALL,X,,X,Yes
weather_params.average_days_snowfall_greater_than_1_inch,Snowfall,Distribution,,,,X,,,X,X,,,,X,,X,,ALL,X,,X,Yes
weather_params.avg_days_snowfall_above_1_in,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.average_fall_snowfall,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.average_spring_snowfall,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.average_winter_snowfall,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.avg_days_snow_depth_above_10_in,Snowfall,Distribution,More than 1 day (178),,,X,,,X,X,,,,X,,X,,ALL,X,,X,Yes
weather_params.fall_days_snow_depth_greater_than_10_inches,Snowfall,Combine,,,,X,,,X,X,,,,X,,X,,ALL,X,,X,Yes
weather_params.spring_days_snow_depth_greater_than_10_inches,Snowfall,Combine,,,,X,,,X,X,,,,X,,X,,ALL,X,,X,Yes
weather_params.winter_days_snow_depth_greater_than_10_inches,Snowfall,Combine,,,,X,,,X,X,,,,X,,X,,ALL,X,,X,Yes
weather_params.cooling_degree_days,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.fall_days_snow_depth_greater_than_1_inch,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.fall_days_snow_depth_greater_than_3_inches,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.fall_days_snow_depth_greater_than_5_inches,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.fall_diurnal_range,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.fall_days_with_max_temp_less_than_32,Freeze,Distribution,,,,X,,,,X,,,,,,,,ALL,X,,X,Yes
weather_params.winter_days_with_max_temp_less_than_32,Freeze,Combine,,,,X,,,,X,,,,,,,,ALL,X,,X,Yes
weather_params.spring_days_with_max_temp_less_than_32,Freeze,Combine,,,,X,,,,X,,,,,,,,ALL,X,,X,Yes
weather_params.heating_degree_days,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.spring_days_snow_depth_greater_than_1_inch,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.spring_days_snow_depth_greater_than_3_inches,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.spring_days_snow_depth_greater_than_5_inches,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.spring_diurnal_range,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.winter_days_snow_depth_greater_than_1_inch,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.winter_days_snow_depth_greater_than_3_inches,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.winter_days_snow_depth_greater_than_5_inches,,,,,,,,,,,,,,,,,,,,,,Yes
weather_params.winter_diurnal_range,,,,,,,,,,,,,,,,,,,,,,Yes
hardiness.avextmin,,,,,,,,,,,,,,,,,,,,,,Yes
hardiness.zone,Hardiness Zone,Distribution,,,,,,,,X,,,,,,,,CL,X,,X,Yes
hardiness.avextmin5,Hardiness Zone,Combine,,,,,,,,X,,,,,,,,CL,X,,X,Yes
hardiness.zoneseg,,,,,,,,,,,,,,,,,,,,,,Yes
mold_index.index,Mold,Distribution,,,,,X,,,X,,X,X,,,,,ALL,,,X,Yes
mold_index.score,Mold,Combine,F (58),,,,X,,,X,,X,X,,,,,ALL,X,,,Yes
mold_index.text,Mold,Combine,,,,,X,,,X,,X,X,,,,,ALL,,X,,Yes
ice_dam_index.index,Ice Dams,Distribution,,,,X,,,,X,,,,,,,,ALL,,,X,Yes
ice_dam_index.score,Ice Dams,Combine,outliers by state,,,X,,,,X,,,,,,,,ALL,X,,,Yes
ice_dam_index.text,Ice Dams,Combine,,,,X,,,,X,,,,,,,,ALL,,X,,Yes
frozen_pipe_index.index,Frozen Pipes,Distribution,,,,X,,,,,,,,,,,,ALL,,,X,Yes
frozen_pipe_index.score,Frozen Pipes,Combine,outliers by state,,,X,,,,,,,,,,,,ALL,X,,,Yes
frozen_pipe_index.text,Frozen Pipes,Combine,,,,X,,,,,,,,,,,,ALL,,X,,Yes
hh_snow_load.score,Snow Load,Distribution,D - F (100),,,X,,,X,X,,,,,,X,,ALL,X,,,Yes
hh_snow_load.text,Frozen Pipes,Combine,,,,X,,,,,,,,,,,,ALL,,X,,Yes
hh_snow_load.desc,Frozen Pipes,Combine,,,,X,,,,,,,,,,,,ALL,,X,,Yes
hh_snow_load.scale,Snow Load,Combine,,,,X,,,X,X,,,,,,,,ALL,,,X,Yes
ground_snow_load.score,Freeze,Distribution,C - F (164),,,X,,,,X,,,,,,X,,ALL,X,,,Yes
ground_snow_load.text,Snow Load,Combine,,,,X,,,X,X,,,,,,,,ALL,,X,,Yes
ground_snow_load.desc,Snow Load,Combine,,,,X,,,,X,,,,,,,,ALL,,X,,No
potential_maximum_precipitation,Rainfall,Distribution,More than 5 inches (170),,,X,,,,X,,,,X,,,,ALL,X,,,Yes
enhanced_hazardhub_flood.score,Flood,Distribution,,,,,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hazardhub_flood.text,Flood,Combine,,,,,,,,X,,,,X,,,,ALL,,X,,Yes
enhanced_hazardhub_flood_params.dist,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hazardhub_flood_params.elevnff,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hazardhub_flood_params.elev_pt,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hazardhub_flood_params.diff,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hazardhub_flood_params.lines_distance,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hazardhub_flood_params.lines_diff,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hazardhub_flood_params.lines_score,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hazardhub_flood_params.lines_name,Flood,Exceptions,,,,,,,,X,,,,X,,,,ALL,X,X,,No
enhanced_hazardhub_flood_params.lines_descrip,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hazardhub_flood_params.polygons_distance,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hazardhub_flood_params.polygons_diff,,,,,,,,,,,,,,,,,,,,,,Yes
enhanced_hazardhub_flood_params.polygons_score,Flood,Distribution,,,,,,,,X,,,,X,,,,ALL,X,,X,Yes
enhanced_hazardhub_flood_params.polygon_type,Flood,Combine,,,,,,,,X,,,,X,,,,ALL,,X,,Yes
enhanced_hazardhub_flood_params.polygon_name,Flood,Exceptions,,,,,,,,X,,,,X,,,,ALL,X,X,,No
enhanced_hazardhub_flood_params.polygon_descrip,Flood,Combine,,,,,,,,X,,,,X,,,,ALL,,X,,Yes
potential_catastrophic_precipitation,,,,,,,,,,,,,,,,,,,,,,Yes
hazardhub_catastrophic_flood.score,Flood,Distribution,,,,,,,,X,,,,X,,,,ALL,X,,X,Yes
hazardhub_catastrophic_flood.text,Flood,Combine,,,,,,,,X,,,,X,,,,ALL,,X,,Yes
hazardhub_catastrophic_flood_params.cat_dist,,,,,,,,,,,,,,,,,,,,,,Yes
hazardhub_catastrophic_flood_params.cat_elevnff,,,,,,,,,,,,,,,,,,,,,,Yes
hazardhub_catastrophic_flood_params.cat_elev_pt,,,,,,,,,,,,,,,,,,,,,,Yes
hazardhub_catastrophic_flood_params.cat_diff,,,,,,,,,,,,,,,,,,,,,,Yes
hazardhub_catastrophic_flood_params.cat_lines_distance,,,,,,,,,,,,,,,,,,,,,,Yes
hazardhub_catastrophic_flood_params.cat_lines_diff,,,,,,,,,,,,,,,,,,,,,,Yes
hazardhub_catastrophic_flood_params.cat_lines_score,,,,,,,,,,,,,,,,,,,,,,Yes
hazardhub_catastrophic_flood_params.cat_lines_name,,,,,,,,,,,,,,,,,,,,,,No
hazardhub_catastrophic_flood_params.cat_lines_descrip,,,,,,,,,,,,,,,,,,,,,,Yes
hazardhub_catastrophic_flood_params.cat_polygons_distance,,,,,,,,,,,,,,,,,,,,,,Yes
hazardhub_catastrophic_flood_params.cat_polygons_diff,,,,,,,,,,,,,,,,,,,,,,Yes
hazardhub_catastrophic_flood_params.cat_polygons_score,,,,,,,,,,,,,,,,,,,,,,Yes
hazardhub_catastrophic_flood_params.cat_polygon_type,,,,,,,,,,,,,,,,,,,,,,Yes
hazardhub_catastrophic_flood_params.cat_polygon_name,,,,,,,,,,,,,,,,,,,,,,No
hazardhub_catastrophic_flood_params.cat_polygon_descrip,,,,,,,,,,,,,,,,,,,,,,Yes
fema_all_flood.score,FEMA Flood,Distribution,D-F (122),,,,,,,,,,,X,,X,,ALL,X,,X,Yes
fema_all_flood.text,FEMA Flood,Combine,,,,,,,,X,,,,X,,X,,ALL,X,X,,Yes
fema_all_flood_params.dfirm_id,FEMA Flood,Distribution,,,,,,,,X,,,,X,,X,,ALL,X,,X,No
fema_all_flood_params.version_id,FEMA Flood,Distribution,,,,,,,,X,,,,X,,X,,ALL,X,,X,No
